ITEM,ANO,MES,FECHA DE LA ACTIVIDAD,TITULO DE LA ACTIVIDAD,DEFINICION DE LA ACTIVIDAD,HORA DE LA ACTIVIDAD,LUGAR DE LA ACTIVIDAD  (PARQUE),DIRECCION DEL PARQUE
1,2024,ENERO,09/01/2024,DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
2,2024,ENERO,10/01/2024,DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
3,2024,ENERO,10/01/2024,CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
4,2024,ENERO,11/01/2024,DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
5,2024,ENERO,11/01/2024,CAPAÑA DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
6,2024,ENERO,12/01/2024,CAMPAÑA CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,"Cdra. 1 de la Av. Argentina
7,2024,ENERO,12/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
8,2024,ENERO,13/07/2024,APRENDIENDO UN DEPORTE: BADMINTON,DIRIGIDO AL PÚBLICO EN GENERAL,10:30 AM - 12:00 PM,CLUBMET CAHUIDE,Av. Los Parques 251 - Fundo Valdiviezo
9,2024,ENERO,15/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
10,2024,ENERO,15/01/2024,ACTIVACIÓN DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
11,2024,ENERO,15/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
12,2024,ENERO,16/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,Cdra. 1 de la Av. Argentina
13,2024,ENERO,16/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,Cercado de Lima
14,2024,ENERO,17/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,Cdra. 1 de la Av. Argentina
15,2024,ENERO,17/01/2024,SESIÓN CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cercado de Lima
16,2024,ENERO,17/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
17,2024,ENERO,18/01/2024,CAMPAÑA LIGA DE LUCHA CONTRA EL CANCER,DIRIGIDO AL PÚBLICO EN GENERAL,9:00 AM a 2:30 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
18,2024,ENERO,18/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
19,2024,ENERO,19/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
20,2024,ENERO,19/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
21,2024,ENERO,20/01/2024,MASTER CLASS,GYM,11:00 AM A 1:00 PM,PARQUE METROPOLITANO LA MURALLA,Cruce de Jr. Amazonas y Av. Abancay
22,2024,ENERO,21/01/2024,ACTIVACIÓN DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
23,2024,ENERO,22/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
24,2024,ENERO,22/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
25,2024,ENERO,23/01/2024,REVISTA DIGITAL,dirigido a jóvenes de 10 años a mas que estén interesados en la investigación y la narración de historias de forma escrita,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo
26,2024,ENERO,23/01/2024,ACTIVACION DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
27,2024,ENERO,24/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
28,2024,ENERO,24/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
29,2024,ENERO,25/01/2024,FOTOGRAFÍA AL AIRE LIBRE,dirigido a jóvenes dentro 13 años a más.,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo
30,2024,ENERO,25/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
31,2024,ENERO,26/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
32,2024,ENERO,26/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
33,2024,ENERO,27/01/2024,TEATRO PARA TODOS,diseñado para jóvenes de 12 a 20 años con diferentes niveles de experiencia,4:00 A 5:00 PM,CLUB METROPOLITANO MANCO CÁPAC,Altura del Km. 18 de Av. Túpac Amaru en el distrito de Carabayllo
34,2024,ENERO,28/01/2024,CAPAÑA DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
35,2024,ENERO,28/01/2024,RECITAL,DIRIGIDO AL PÚBLICO EN GENERAL,2:00 A 4:00 PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 - Fundo Valdiviezo
36,2024,ENERO,28/01/2024,Ensayo de Marinera,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 a 6:00 pm,PARQUE METROPOLITANO LA MURALLA,Cruce de Jr. Amazonas y Av. Abancay
37,2024,ENERO,29/01/2024,SENSIBILIZACIÓN DE CUIDADO Y ESTÉTICA PERSONAL,DIRIGIDO AL PÚBLICO EN GENERAL,10:00 A 12:00 M,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
38,2024,ENERO,29/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
39,2024,ENERO,30/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO MIGUEL BAQUERO,"Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
40,2024,ENERO,31/01/2024,SESIÓN DE CANTO,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
41,2024,ENERO,31/01/2024,ACTIVACIÓN DE DANZAS PERUANAS,DIRIGIDO AL PÚBLICO EN GENERAL,4:00 A 6:00 PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
42,2024,ENERO,31/01/2024,CAPAÑA DE DIBUJO Y PINTURA,DIRIGIDO AL PÚBLICO EN GENERAL,3:00 A 5:00 PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,"Cdra. 1 de la Av. Argentina
43,2024,FEBRERO,03/02/2024,CINE EN TU CLUB,NIÑOS Y ADULTOS,3:00PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
44,2024,FEBRERO,04/02/2024,TEATRO: OSHTA Y EL DUENDE,TEATRO PARA PUBLICO EN GENERAL,2PM A 5PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
45,2024,FEBRERO,08/02/2024,NEUROCIENCIAS: IMPORTANCIA DE LA CULTURA Y EL DEPORTE EN EL DESARROLLO DEL CEREBRO,DIRIGIDO A PÚBLICO DESDE LOS 12 AÑOS,3:20 PM-5PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
46,2024,FEBRERO,09/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL WIRACOCHA,"Av. Próceres de la Independencia cdra. 12, S.J.L.. Lima - Perú"
47,2024,FEBRERO,10/02/2024,AQUAERÓBICOS,DIRIGIDO A PUBLICO EN GENERAL,12:00 M A 1:00 PM,CLUB ZONAL HUAYNA CAPAC,"Av. Pedro Miota y Av. Mateo Pumacahua, San Juan de Miraflores (km 16 de la carretera Panamericana Sur) Lima - Perú"
48,2024,FEBRERO,10/02/2024,TEATRO: OSHTA Y EL DUENDE,PUBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO CAPAC YUPANQUI,Av. Amancaes y Av. 24 de junio en el distrito del Rímac
49,2024,FEBRERO,10/02/2024,CINE EN TU CLUB,DIRIGIDO A PUBLICO EN GENERAL,3:00PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
50,2024,FEBRERO,11/02/2024,TEATRO: OSHTA Y EL DUENDE,DIRIGIDO A PUBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO SINCHI ROCA,Cruce de Av. Universitaria y Av. Jamaica en el distrito de Comas
51,2024,FEBRERO,14/02/2024,CINE EN TU CLUB,DIRIGIDO A PUBLICO EN GENERAL,2:00PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
52,2024,FEBREO,14/02/2024,CINE EN TU CLUB,DIRIGIDO A PUBLICO EN GENERAL,4:00PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
53,2024,FEBREO,14/02/2024,CINE EN TU CLUB,DIRIGIDO A PUBLICO EN GENERAL,6:00PM,CLUB METROPOLITANO CAPAC YUPANQUI,Av. Amancaes y Av. 24 de junio en el distrito del Rímac
54,2024,FEBRERO,14/02/2024,TEATRO: OSHTA Y EL DUENDE,PÚBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
55,2024,FEBRERO,14/02/2024,EL FESTIAMOR,PÚBLICO EN GENERAL,02:00 p. m.,CLUB METROPOLITANO FLOR DE AMANCAES,Cruce de Av. Los Incas y Av. 27 de Diciembre
56,2024,FEBRERO,14/02/2024,LA FERIA DEL AMOR,PÚBLICO EN GENERAL,10:00 AM a 5:00 PM,CLUB METROPOLITANO HUAYNA CAPAC,"Av. Pedro Miota y Av. Mateo Pumacahua, San Juan de Miraflores (km 16 de la carretera Panamericana Sur) Lima - Perú"
57,2024,FEBRERO,14/02/2024,EXHIBICIÓN DE BALLET,DIRIGIDO AL PÚBLICO EN GENERAL,11:00 AM a 12 M,CLUB METROPOLITANO SANTA ROSA,"Av. Alejandro Bertello s/n, a la altura del Km. 43 de la Panamericana Norte en el distrito de Santa Rosa"
58,2024,FEBRERO,14/02/2024,TALLER DE AEROBICOS AQUATON DE LA AMISTAD,PUBLICO EN GENERAL,9 AM A 11 AM,CLUB METROPOLITANO CAPAC YUPANQUI,Av. Amancaes y Av. 24 de junio en el distrito del Rímac
59,2024,FEBRERO,14/02/2024,CINE FORO SOBRE EL AMOR Y LA AMISTAD,PÚBLICO EN GENERAL,3:00 PM a 5:00 PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
60,2024,FEBRERO,14/02/2024,ADOPTATON DE CONEJOS-EDICIÓN SAN VALENTIN,PÚBLICO EN GENERAL,2:30 PM a 6:00 PM,PARQUE METROPOLITANO LA MURALLA, Jr. Amazonas y Av. Abancay
61,2024,FEBRERO,14/02/2024,EXHIIBICIÓN DE PIANISTA Y DE UN CANTANTE DE LA CASONA DE LA UNMSM,PÚBLICO EN GENERAL,3:00 PM a 5:00 PM,PARQUE METROPOLITANO UNIVERSITARIO,cruce de la Av. Nicolás de Piérola y Av. Abancay en el Cercado de Lima
62,2024,FEBRERO,14/02/2024,MICHI BODA,PÚBLICO EN GENERAL,10:00 AM a 2:00 PM,PARQUE METROPOLITANO UNIVERSITARIO,cruce de la Av. Nicolás de Piérola y Av. Abancay en el Cercado de Lima
63,2024,FEBRERO,14/02/2024,PRESENTACIÓN MUSICAL DE CANCIONES ROMANTICAS,PÚBLICO EN GENERAL,4:00 PM a 5:00 PM,PARQUE METROPOLITANO SALVADOR ALLENDE,"Cdra. 5 de la Av. Salvador Allende
64,2024,FEBRERO,14/02/2024,FESTIVAL DE CANTO DE CANCIÓN DE MUSICA ROMANTICA EN COORDINACIÓN CON LA MUNI DE LIMA,PÚBLICO EN GENERAL,10:00 AM a 12:00 M,PARQUE METROPOLITANO SOLDADOS DEL PERÚ," Av. López Pasos, Lima, Peru."
65,2024,FEBRERO,15/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
66,2024,FEBRERO,17/02/2024,TEATRO: OSHTA Y EL DUENDE,PUBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO MANCO CAPAC,"Altura del Km. 18 de Av. Túpac
67,2024,FEBRERO,20/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL SINCHI ROCA,Cruce de Av. Universitaria y Av. Jamaica en el distrito de Comas
68,2024,FEBRERO,24/02/2024,AQUAERÓBICOS,DIRIGIDO A PUBLICO EN GENERAL,12:00 M A 1:00 PM,CLUB ZONAL HUAYNA CAPAC,"Av. Pedro Miota y Av. Mateo Pumacahua, San Juan de Miraflores (km 16 de la carretera Panamericana Sur) Lima - Perú"
69,2024,FEBRERO,29/02/2024,EXHIBICION Y CLASE MODELO DE DANZAS DEL PERU,DIRIGIDO AL PUBLICO EN GENERAL,3:00 PM A 4: 00PM,CLUB METROPOLITANO WIRACOCHA,"Av. Próceres de la Independencia cdra. 12, S.J.L.. Lima - Perú"
70,2024,FEBRERO,11/02/2024,"TEATRO :""RUNATUQUQ ATOQCHA""... EL ZORRO PRESUNTUOSO",PÚBLICO EN GENERAL,2:00 pm a 6:00 pm,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
