ITEM,ANO,MES,FECHA DE LA ACTIVIDAD,TITULO DE LA ACTIVIDAD,DEFINICION DE LA ACTIVIDAD,HORA DE LA ACTIVIDAD,LUGAR DE LA ACTIVIDAD  (PARQUE),DIRECCION DEL PARQUE
71,2024,FEBRERO,14/02/2024,CINE EN TU PARQUE - DIA DE LA AMISTAD,PUBLICON EN GENERAL,06:00 p. m.,CLUB CAPAC YUPANQUI,Av. Amancaes y Av. 24 de junio en el distrito del Rímac
72,2024,FEBRERO,25/02/2024,"TEATRO :""RUNATUQUQ ATOQCHA""... EL ZORRO PRESUNTUOSO",PÚBLICO EN GENERAL,2:00PM A 6:00PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
73,2024,FEBRERO,04/02/2024,ACTIVACIÓN CULTURAL DE MODELAJE,PÚBLICO EN GENERAL,10:30 AM A 12:00PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
74,2024,FEBRERO,14/02/2024,MICHI BODA,PÚBLICO EN GENERAL,10:00 AM a 2:00 PM,PARQUE METROPOLITANO UNIVERSITARIO,cruce de la Av. Nicolás de Piérola y Av. Abancay en el Cercado de Lima
75,2024,FEBRERO,14/02/2024,PRESENTACIÓN MUSICAL DE CANCIONES ROMANTICAS,PÚBLICO EN GENERAL,4:00 PM a 5:00 PM,PARQUE METROPOLITANO SALVADOR ALLENDE,"Cdra. 5 de la Av. Salvador Allende
76,2024,FEBRERO,14/02/2024,FESTIVAL DE CANTO DE CANCIÓN DE MUSICA ROMANTICA EN COORDINACIÓN CON LA MUNI DE LIMA,PÚBLICO EN GENERAL,10:00 AM a 12:00 M,PARQUE METROPOLITANO SOLDADOS DEL PERÚ," Av. López Pasos, Lima, Peru."
77,2024,FEBRERO,15/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
78,2024,FEBRERO,17/02/2024,MASTER CLASS AQUAFOLKSION,DIRIGIDO AL PUBLICO EN GENERAL,4:00 A 5:30 PM,CLUB METROPOLITANO WIRACOCHA,"Av. Próceres de la Independencia cdra. 12, S.J.L.. Lima - Perú"
79,2024,FEBRERO,17/02/2024,AQUAERÓBICOS,DIRIGIDO A PUBLICO EN GENERAL,12:00 M A 1:00 PM,CLUB ZONAL HUAYNA CAPAC,"Av. Pedro Miota y Av. Mateo Pumacahua, San Juan de Miraflores (km 16 de la carretera Panamericana Sur) Lima - Perú"
80,2024,FEBRERO,18/02/2024,TEATRO : OSHTA Y EL DUENDE,DIRIGIDO AL PUBLICO EN GENERAL,3:00 A 5:00 PM,CLUB METROPOLITANO WIRACOCHA,"Av. Próceres de la Independencia cdra. 12, S.J.L.. Lima - Perú"
81,2024,FEBRERO,17/02/2024,TEATRO: OSHTA Y EL DUENDE,PUBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO MANCO CAPAC,"Km. 18 de Av. Túpac Amaru
82,2024,FEBRERO,20/02/2024,ATRAPANDO LECTORES,DIRIGIDO A PUBLICO EN GENERAL,11:00 AM A 5:00 PM,CLUB ZONAL SINCHI ROCA,Cruce de Av. Universitaria y Av. Jamaica en el distrito de Comas
83,2024,FEBRERO,24/02/2024,AQUAERÓBICOS,DIRIGIDO A PUBLICO EN GENERAL,12:00 M A 1:00 PM,CLUB ZONAL HUAYNA CAPAC,"Av. Pedro Miota y Av. Mateo Pumacahua, San Juan de Miraflores (km 16 de la carretera Panamericana Sur) Lima - Perú"
84,2024,FEBRERO,24/02/2024,CINE EN TU CLUB,NIÑOS Y ADULTOS,3:00PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
85,2024,FEBRERO,24/02/2024,MASTER CLASS DE AQUAFOLKSION,DIRIGIDO A ADULTOS MAYORES,11:00 AM A 12 M,CLUB METROPOLITANO HUASCAR,
86,2024,FEBRERO,29/02/2024,EXHIBICION Y CLASE MODELO DE DANZAS DEL PERU,DIRIGIDO AL PUBLICO EN GENERAL,3:00 PM A 4: 00PM,CLUB METROPOLITANO WIRACOCHA,"Av. Próceres de la Independencia cdra. 12, S.J.L.. Lima - Perú"
87,2024,FEBRERO,29/02/2024,"CAMPEONATO VOLEY ""CAHUIDE - BAQUERO",DIRIGIDO AL PÚBLICO GENERAL,9:00 A 1 PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 – Fundo Valdiviezo en el distrito de Ate
88,2024,FEBRERO,29/02/2024,AQUAERÓBICOS,DIRIGIDO A PUBLICO EN GENERAL,12:00 M A 1:00 PM,"CLUB ZONAL HUAYNA 
89,2024,FEBRERO,11/02/2024,"TEATRO :""RUNATUQUQ ATOQCHA""... EL ZORRO PRESUNTUOSO",PÚBLICO EN GENERAL,2:00 pm a 6:00 pm,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
90,2024,FEBRERO,14/02/2024,CINE EN TU PARQUE - DIA DE LA AMISTAD,PUBLICON EN GENERAL,06:00 p. m.,CLUB CAPAC YUPANQUI,Av. Amancaes y Av. 24 de junio en el distrito del Rímac
91,2024,FEBRERO,25/02/2024,"TEATRO :""RUNATUQUQ ATOQCHA""... EL ZORRO PRESUNTUOSO",PÚBLICO EN GENERAL,2:00PM A 6:00PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
92,2024,FEBRERO,01/02/2024,CAMPEONATO AMISTOSO DE BASQUET,PÚBLICO EN GENERAL,9:00 AM A 1:00PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
93,2024,FEBRERO,04/02/2024,ACTIVACIÓN CULTURAL DE MODELAJE,PÚBLICO EN GENERAL,10:30 AM A 12:00PM,CLUB METROPOLITANO LLOQUE YUPANQUI,Av. Universitaria y Av. Naranjal en el distrito de Los Olivos.
94,2024,MARZO,02/03/2024,CLAUSURA DE TALLERES CULTURALES,CADA PARQUE TRAERA UN NÚMERO ARTISITICO,2:00PM A 5:00PM,CLUB METROPOLITANO CAHUIDE,Av. Los Parques 251 - Fundo Valdiviezo
95,2024,MARZO,02/03/2024,TALLER DE CHOCOLATERIA,DIRIGIDO A PUBLICO EN GENERAL,3:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
96,2024,MARZO,02/03/2024,TALLER DE IMPROVISACIÓN TEATRAL,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
97,2024,MARZO,03/03/2024,"Teatro "" Ruñatuquq Atoqcha"" el zorrito 
98,2024,MARZO,07/03/2024,CONVOCATORIA PARA JESUCRISTO SUPER STAR,DIRIGIDO A MAYORES DE 14 AÑOS,09:00 a. m.,CLUB METROPOLITANO HUASCAR,Las palomas 200 millas
99,2024,MARZO,07/03/2024,TALLER DE MACETEROS COLORIDOS -MACETEROS A BASE DE MATERIAL RECICABLE,DIRIGIDO A PUBLICO EN GENERAL,04:00 PM A 5:00 PM,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Próceres de la Independencia y Av. Tusilagos
100,2024,MARZO,07/03/2024,TALLER DE FOTOGRAFÍA,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
101,2024,MARZO,07/03/2024,CAMPAÑA DE SALUD INTEGRAL POR EL DÍA INTERNACIONAL DE LA MUJER,DIRIGIDO A PUBLICO EN GENERAL- EN COORDINACIÓN CON EL CENBTRO DE SALUD MENTAL MIRONES BAJO,8:00 AM A 2:00PM,PARQUE METROPOLITANO LOS SOLDADOS DEL PERÚ,Cdra. 32 de la Av. Morales Duárez
102,2024,MARZO,08/03/2024,PINTA Y APRENDE LOS DERECHOS DE LA MUJER,DIRIGIDO A PUBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO WIRACOCHA,Av. Próceres de la Independencia y Av. Tusilagos en el distrito de San Juan de Lurigancho
103,2024,MARZO,08/03/2024,ASOCAP REALIZARA PRESENTACIÓN ESPECIAL EN HOMENAJE A LA MUJER,DIRIGIDO A PUBLICO EN GENERAL,02:00 PM A 6:00 PM,PARQUE METROPOLITANO UNIVERSITARIO,Cruce de Av. Nicolás de Piérola y Av. Abancay
104,2024,MARZO,08/03/2024,MISS CAPAC YUPANQUI,DIRIGIDO A PUBLICO EN GENERAL,12:00M,CLUB METROPOLITANO CAPAC YUPANQUI,Cruce de la Av. Amancaes y Av. 24 de junio en el distrito del Rímac
105,2024,MARZO,08/03/2024,PRESENTACIÓN GRUPO DE ROCK EN ESPAÑOL CHEGARAY,DIRIGIDO A PUBLICO EN GENERAL,02:00 PM A 6:00 PM,PARQUE METROPOLITANO UNIVERSITARIO,Cruce de Av. Nicolás de Piérola y Av. Abancay
106,2024,MARZO,08/03/2024,PRESENTACIÓN DE BANDA MUSICAL DEL CENTRO CULTURAL UNMSN EN HOMENAJE A LA MUJER,DIRIGIDO A PUBLICO EN GENERAL,6:00 A 7:00PM,PARQUE METROPOLITANO UNIVERSITARIO,Cruce de Av. Nicolás de Piérola y Av. Abancay
107,2024,MARZO,08/03/2024,GRAN BAILETON,SE REALIZAR UN CONCURSO D BAILE EN LA PISCINA RECREATIVA Y UNA FERIA MUJER EMPRENDEDORA,02:30 PM A 3:15 PM,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Pedro Miotta y Av. Mateo Pumacahua
108,2024,MARZO,08/03/2024,CAMINATA CONMEMORANDO EL DÍA DE LA MUJER,DIRIGIDA AL PÚBLICO EN GENERAL,04:00 p. m.,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Pedro Miotta y Av. Mateo Pumacahua
109,2024,MARZO,08/03/2024,CAMPEONATO DE VOLEY DE MADRES E HIJAS,ENTREGA DE OBSEQUIOS ALUSIVOS AL DÍA,3:00 A 6:00PM,PARQUE METROPOLITANO MIGUEL BAQUERO,Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
110,2024,MARZO,08/03/2024,KARAOKE DINÁMICO POR EL DÍA DE LA MUJER,DIRIGIDO A PUBLICO EN GENERAL,3:00 A 5:00PM,PARQUE METROPOLITANO SALVADOR ALLENDE,Cdra. 5 de la Av. Salvador Allende
111,2024,MARZO,08/03/2024,PASACALLE MUSICAL- PRESENTACIÓN DE AGRUPACIONES UNIVERSTIARIAS,"TUNA FEMENINA DE LA FACULTAD DE CIENCIAS DE LA COMUNICACIÓN,TURISMO Y PSICOLOGÍA",4:00 A 5:00PM,PARQUE METROPOLITANO LA MURALLA,Cruce de Jr. Amazonas y Av. Abancay
112,2024,MARZO,08/03/2024,BIENVENIDA DIA DE LA MUJER TALLER DE BALLET -TEATRO Y CLOWN,DIA DE LA MUJER,4 PM A 6PM,CLUB MET CAPAC YUPANQUI- ANGIE,Cruce de la Av. Amancaes y Av. 24 de junio en el distrito del Rímac
113,2024,MARZO,08/03/2024,MISS CAPAC/ DIA DE LA MUJER - PISCINA RECREATIVA,DIRIGIDO A PUBLICO EN GENERAL,12:00PM,CLUB MET CAPAC YUPANQUI- ANGIE,Cruce de la Av. Amancaes y Av. 24 de junio en el distrito del Rímac
114,2024,MARZO,09/03/2024,TALLER DE CHOCOLATERIA,DIRIGIDO A PUBLICO EN GENERAL,3:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
115,2024,MARZO,09/03/2024,COMPARTIR DEL GRUPO DE DAMAS DE CARABAYLLO,SE SORTEARAN ENTRADAS Y PASES LIBRES A LA PISCINA,TODO EL DÍA,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
116,2024,MARZO,09/03/2024,TALLER DE IMPROVISACIÓN TEATRAL,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
117,2024,MARZO,09/03/2024,"Campaña por el Día de la Mujer” 
118,2024,MARZO,10/03/2024,FIN DE LAS VACACIONES Y AL COLE CON CARIÑO 2024,"FESTIVAL, SHOW MUSICAL Y PREMIOS",3:00PM,CLUB METROPOLITANO HUASCAR,Esquina de Av. 200 millas con Av. Revolución- Villa El Salvador
119,2024,MARZO,10/03/2024,"Taller 
120,2024,MARZO,10/03/2024,Sensibilización de la correcta disposición de residuos inorgánicos,PÚBLICO EN GENERAL,1:00pm a 5:00 PM,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Pedro Miotta y Av. Mateo Pumacahua
121,2024,MARZO,13/03/2024,Show y Pintura EXHIBICION DE LA BRIGADA CANINA y PINTEMOS JUNTOS,PÚBLICO EN GENERAL,3:00PM,PARQUE METROPOLITANO ALAMEDA LAS MALVINAS,Cdra. 1 de la Av. Argentina
122,2024,MARZO,14/03/2024,TALLER DE FOTOGRAFÍA,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
123,2024,MARZO,15/03/2024,Taller de compostaje agroecológico,PÚBLICO EN GENERAL,4:00PM A 5:00PM,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Pedro Miotta y Av. Mateo Pumacahua
124,2024,MARZO,16/03/2024,TALLER DE IMPROVISACIÓN TEATRAL,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
125,2024,MARZO,16/03/2024,TALLER DE CHOCOLATERIA,DIRIGIDO A PUBLICO EN GENERAL,3:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
126,2024,MARZO,16/03/2024,MISS PISCINA MANCO CAPAC,SE REALIZARA UN CONCURSO DE BELLEZA CON ANIMACIÓN Y DJ PARA ESCOGER A LA MISS PISCINA MANCO CAPAC,TODO EL DÍA,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
127,2024,MARZO,16/03/2024,FERIA GASTRONOMICA,DIRIGIDO A PUBLICO EN GENERAL,11:00 a. m.,CLUB MET CAPAC YUPANQUI- ANGIE,Cruce de la Av. Amancaes y Av. 24 de junio en el distrito del Rímac
128,2024,MARZO,16/03/2024,CAMPEONATO RELÁMPAGO DE FÚTBOL,"Se realizará un campeonato 
129,2024,MARZO,21/03/2024,"Campaña RENIEC 
130,2024,MARZO,21/03/2024,TALLER DE FOTOGRAFÍA,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
131,2024,MARZO,21/03/2024,BAILETON LLENO DE AMOR,DIRIGIDO A PUBLICO EN GENERAL,10:00AM,CLUB METROPOLITANO HUASCAR,Altura del Km. 18 de Av. Túpac Amaru
132,2024,MARZO,22/03/2024,Paraliturgia y compartir por el décimo quinto aniversario de la fundación del Parque,DIRIGIDO A PUBLICO EN GENERAL,11:00 a. m.,PARQUE METROPOLITANO LOS SOLDADOS DEL PERÚ,Cdra. 32 de la Av. Morales Duárez
133,2024,MARZO,22/03/2024,Taller de ecoladrillos,DIRIGIDO A PUBLICO EN GENERAL,4:00PM A 5:00PM,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Pedro Miotta y Av. Mateo Pumacahua
134,2024,MARZO,23/03/2024,TALLER DE CHOCOLATERIA,DIRIGIDO A PUBLICO EN GENERAL,3:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
135,2024,Marzo,23/03/2024,PRESENTACIÓN DE BATUCADA,DIRIGIDO A PÚBLICO EN GENERAL,10:00 a. m.,CLUB MET HUAYNA CAPAC,Cruce de Pedro Miotta y Av Mateo Pumacahua
136,2024,MARZO,23/03/2024,TALLER DE IMPROVISACIÓN TEATRAL,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
137,2024,MARZO,24/03/2024,"Taller Creativo 
138,2024,MARZO,28/03/2024,TALLER DE FOTOGRAFÍA,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
139,2024,MARZO,29/03/2024,CAMPAÑA DE VACUNACIÓN ANTIRABICA,DIRIGIDO A PUBLICO EN GENERAL,10:00 AM A 2:00 PM,CLUB METROPOLITANO HUAYNA CAPAC,Cruce de Av. Pedro Miotta y Av. Mateo Pumacahua
140,2024,MARZO,30/03/2024,TALLER DE CHOCOLATERIA,DIRIGIDO A PUBLICO EN GENERAL,3:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
141,2024,MARZO,30/03/2024,TALLER DE IMPROVISACIÓN TEATRAL,DIRIGIDO A PUBLICO EN GENERAL,4:00 A 5:00PM,CLUB METROPOLITANO MANCO CAPAC,Altura del Km. 18 de Av. Túpac Amaru
142,2024,MARZO,31/03/2024,DOMINGO DE PASCUA -BUSCANDO AL CONEJO DE LOS HUEVOS DE PASCUA,DIRIGIDO A PUBLICO EN GENERAL,9:00 AM A 4:00PM,PARQUE METROPOLITANO MIGUEL BAQUERO,Cruce de Jr. Coronel Miguel Baquero y Jr. Pacasmayo
143,2024,MARZO,31/03/2024,DOMINGO DE PASCUA -BUSCANDO AL CONEJO DE LOS HUEVOS DE PASCUA,DIRIGIDO A PUBLICO EN GENERAL,9:00 AM A 4:00PM,PARQUE METROPOLITANO SOLDADOS DEL PERU,Cdra. 32 de la Av. Morales Duárez
